INFO 2022-11-06 16:36:22 {'user': 'gregory.faupin', 'cart': 4932, 'order': 356, 'produit': 1176, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 16:36:44 {'user': 'gregory.faupin', 'cart': 4933, 'order': 356, 'produit': 256, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-06 16:36:44 {'user': 'gregory.faupin', 'cart': 4933, 'order': 356, 'produit': 256, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 16:36:56 {'user': 'gregory.faupin', 'cart': 4934, 'order': 356, 'produit': 258, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-06 16:36:56 {'user': 'gregory.faupin', 'cart': 4934, 'order': 356, 'produit': 258, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 16:37:09 {'user': 'gregory.faupin', 'cart': 4008, 'order': 356, 'produit': 269, 'action': 'Edit', 'field': 'qte', 'old_data': 1, 'new_data': 5}
INFO 2022-11-06 16:47:03 {'user': 'gregory.faupin', 'cart': 4935, 'order': 481, 'produit': 262, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 1}
INFO 2022-11-06 16:47:03 {'user': 'gregory.faupin', 'cart': 4935, 'order': 481, 'produit': 262, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 16:47:03 {'user': 'gregory.faupin', 'cart': 4936, 'order': 481, 'produit': 1219, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 1}
INFO 2022-11-06 16:47:03 {'user': 'gregory.faupin', 'cart': 4936, 'order': 481, 'produit': 1219, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 16:47:03 {'user': 'gregory.faupin', 'cart': 4937, 'order': 481, 'produit': 269, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 2}
INFO 2022-11-06 16:47:03 {'user': 'gregory.faupin', 'cart': 4937, 'order': 481, 'produit': 269, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 16:47:03 {'user': 'gregory.faupin', 'cart': 4938, 'order': 481, 'produit': 259, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 2}
INFO 2022-11-06 16:47:03 {'user': 'gregory.faupin', 'cart': 4938, 'order': 481, 'produit': 259, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 16:47:03 {'user': 'gregory.faupin', 'cart': 4939, 'order': 481, 'produit': 695, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 1}
INFO 2022-11-06 16:47:03 {'user': 'gregory.faupin', 'cart': 4939, 'order': 481, 'produit': 695, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 16:55:12 {'user': 'gregory.faupin', 'cart': 4940, 'order': 482, 'produit': 708, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 1}
INFO 2022-11-06 16:55:12 {'user': 'gregory.faupin', 'cart': 4940, 'order': 482, 'produit': 708, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 16:55:12 {'user': 'gregory.faupin', 'cart': 4941, 'order': 482, 'produit': 384, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 1}
INFO 2022-11-06 16:55:12 {'user': 'gregory.faupin', 'cart': 4941, 'order': 482, 'produit': 384, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 16:55:12 {'user': 'gregory.faupin', 'cart': 4942, 'order': 482, 'produit': 460, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 1}
INFO 2022-11-06 16:55:12 {'user': 'gregory.faupin', 'cart': 4942, 'order': 482, 'produit': 460, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 17:06:32 {'user': 'gregory.faupin', 'cart': 4943, 'order': 483, 'produit': 952, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 1}
INFO 2022-11-06 17:06:32 {'user': 'gregory.faupin', 'cart': 4943, 'order': 483, 'produit': 952, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 17:06:33 {'user': 'gregory.faupin', 'cart': 4944, 'order': 483, 'produit': 268, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 1}
INFO 2022-11-06 17:06:33 {'user': 'gregory.faupin', 'cart': 4944, 'order': 483, 'produit': 268, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-06 17:06:33 {'user': 'gregory.faupin', 'cart': 4945, 'order': 483, 'produit': 1195, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 2}
INFO 2022-11-06 17:06:33 {'user': 'gregory.faupin', 'cart': 4945, 'order': 483, 'produit': 1195, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 5.0}
INFO 2022-11-06 17:06:33 {'user': 'gregory.faupin', 'cart': 4946, 'order': 483, 'produit': 1197, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 1}
