INFO 2022-11-05 14:50:53 {'user': 'gregory.faupin', 'produit': 736, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 13, 'new_data': 8}
INFO 2022-11-05 14:50:53 {'user': 'gregory.faupin', 'produit': 736, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 5, 'new_data': 0}
INFO 2022-11-05 14:51:02 {'user': 'gregory.faupin', 'produit': 728, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 5, 'new_data': 4}
INFO 2022-11-05 14:51:02 {'user': 'gregory.faupin', 'produit': 728, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 5, 'new_data': 4}
INFO 2022-11-05 14:51:14 {'user': 'gregory.faupin', 'produit': 748, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 10, 'new_data': 8}
INFO 2022-11-05 14:51:14 {'user': 'gregory.faupin', 'produit': 748, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 2, 'new_data': 0}
INFO 2022-11-05 14:51:42 {'user': 'gregory.faupin', 'produit': 752, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 18, 'new_data': 16}
INFO 2022-11-05 14:51:42 {'user': 'gregory.faupin', 'produit': 752, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 7, 'new_data': 5}
INFO 2022-11-05 14:52:13 {'user': 'gregory.faupin', 'produit': 740, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 4, 'new_data': 3}
INFO 2022-11-05 14:52:13 {'user': 'gregory.faupin', 'produit': 740, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 3, 'new_data': 2}
INFO 2022-11-05 14:52:32 {'user': 'gregory.faupin', 'produit': 816, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 9, 'new_data': 7}
INFO 2022-11-05 14:52:32 {'user': 'gregory.faupin', 'produit': 816, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 3, 'new_data': 1}
INFO 2022-11-05 14:55:54 {'user': 'gregory.faupin', 'produit': 804, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 11, 'new_data': 10}
INFO 2022-11-05 14:57:36 {'user': 'gregory.faupin', 'produit': 523, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 5, 'new_data': 4}
INFO 2022-11-05 14:58:41 {'user': 'gregory.faupin', 'produit': 547, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 10, 'new_data': 9}
INFO 2022-11-05 14:59:57 {'user': 'gregory.faupin', 'produit': 547, 'order': None, 'action': 'Edit', 'field': 'sb', 'old_data': 0, 'new_data': 1}
INFO 2022-11-05 15:01:24 {'user': 'gregory.faupin', 'produit': 704, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 20, 'new_data': 19}
INFO 2022-11-05 15:01:39 {'user': 'gregory.faupin', 'produit': 547, 'order': 471, 'action': 'Add', 'field': 'sb', 'old_data': 1, 'new_data': 0}
INFO 2022-11-05 15:03:27 {'user': 'gregory.faupin', 'produit': 408, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 9, 'new_data': 6}
INFO 2022-11-05 15:04:41 {'user': 'gregory.faupin', 'produit': 608, 'order': None, 'action': 'Edit', 'field': 'sf', 'old_data': 9, 'new_data': 5}
INFO 2022-11-06 16:09:26 {'user': 'gregory.faupin', 'produit': 250, 'order': 415, 'action': 'Add', 'field': 'sb', 'old_data': 1, 'new_data': 0}
INFO 2022-11-06 16:09:40 {'user': 'gregory.faupin', 'produit': 1065, 'order': 415, 'action': 'Add', 'field': 'sb', 'old_data': 2, 'new_data': 1}
INFO 2022-11-06 16:10:19 {'user': 'gregory.faupin', 'produit': 952, 'order': 415, 'action': 'Add', 'field': 'sb', 'old_data': 2, 'new_data': 1}
INFO 2022-11-06 16:14:37 {'user': 'gregory.faupin', 'produit': 1065, 'order': 478, 'action': 'Create', 'field': 'sb', 'old_data': 1, 'new_data': 0}
INFO 2022-11-06 16:14:37 {'user': 'gregory.faupin', 'produit': 786, 'order': 478, 'action': 'Create', 'field': 'sb', 'old_data': 2, 'new_data': 1}
INFO 2022-11-06 16:18:17 {'user': 'gregory.faupin', 'produit': 1030, 'order': 479, 'action': 'Create', 'field': 'sb', 'old_data': 1, 'new_data': 0}
INFO 2022-11-06 16:18:17 {'user': 'gregory.faupin', 'produit': 337, 'order': 479, 'action': 'Create', 'field': 'sb', 'old_data': 2, 'new_data': 1}
INFO 2022-11-06 16:23:27 {'user': 'gregory.faupin', 'produit': 937, 'order': 480, 'action': 'Create', 'field': 'sb', 'old_data': 33, 'new_data': 32}
INFO 2022-11-06 16:23:27 {'user': 'gregory.faupin', 'produit': 938, 'order': 480, 'action': 'Create', 'field': 'sb', 'old_data': 83, 'new_data': 82}
INFO 2022-11-06 16:23:27 {'user': 'gregory.faupin', 'produit': 941, 'order': 480, 'action': 'Create', 'field': 'sb', 'old_data': 22, 'new_data': 21}
